Id,Program,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s1_grade,Y1s2_enrol,Y1s2_complete,Y1s2_grade,Y2s1_enrol,Y2s1_complete,Y2s1_grade,Y2s2_enrol,Y2s2_complete,Y2s2_grade,Y3s1_enrol,Y3s1_complete,Y3s1_grade,Y3s2_enrol,Y3s2_complete,Y3s2_grade,Y4s1_enrol,Y4s1_complete,Y4s1_grade,Y4s2_enrol,Y4s2_complete,Y4s2_grade,Rest_enrol,Rest_complete,Rest_grade,Failure
131381705,1,29,48,27,15,10.8,42,30,11.6,30,9,13.667,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131396556,2,17,11.5,29,0,0,42.5,0,0,41,12,13,40.5,0,0,35.5,12,12.5,46.5,10.5,11,35.5,12,11.5,35.5,12.5,12.08,72,18.5,10.649,1
131385177,2,36,36,36,30,13.6,36,36,14.5,30,24,13.875,30,18,14.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111335759,3,30,35,30,25,15.08,30,30,17,30,30,14,30,30,15,30,30,14,30,30,14.033,0,0,0,0,0,0,0,0,0,0
131383930,2,30,36,30,30,12.8,30,30,12.9,30,30,13.8,30,30,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384195,0,27,50,40,27,12.481,26,0,0,35,24,12.875,36,30,12.4,30,18,12.444,30,18,12.833,0,0,0,0,0,0,0,0,0,0
131394564,1,12,24,29,29,12.034,30,24,15.5,41,35,12.486,29,23,12.261,29,21,12.143,30,24,12.125,0,0,0,0,0,0,0,0,0,0
131384010,3,26,0,19,6,11.5,18,9,14.889,15,3,13,15,7,13.429,30,15,11.2,30,5,10,0,0,0,0,0,0,0,0,0,0
131383306,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111354341,3,24,30,30,30,15.4,30,30,18,30,30,15.167,30,30,16.5,30,30,16.233,30,30,15.933,0,0,0,0,0,0,0,0,0,0
131386703,1,31,18,0,0,0,0,0,0,25,12,14,42,24,13,30,11,14.091,36,12,12,32,15,12.2,30,12,13,72,27,12.667,0
111345831,3,20,0,30,30,17.5,30,30,16.6,20,20,17.5,26,26,15.731,34,14,15,26,26,16.654,30,30,14.967,30,30,15.933,0,0,0,0
131381865,2,30,30,30,30,12.6,30,30,13.4,30,30,12.1,30,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131392534,2,6,6,24,12,12,36,30,11.4,34.5,34.5,11.812,41.5,29.5,12.475,36,30,11.2,36,12.5,11.28,30,6,12,30,22.5,11.178,0,0,0,0
131387930,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380311,2,30,48,30,24,16,30,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131390948,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131381976,3,30,30,36,36,13.167,30,30,15.667,30,24,11.833,30,30,13.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131394061,1,27,36,0,0,0,0,0,0,36,9,13.333,36,6,14,35,23,11.957,36,18,11.333,35,5,10,36,24,12.75,132,32,11.688,1
131383786,3,30,30,30,30,15.933,30,30,18.333,30,30,14.733,30,30,14.667,30,30,13.067,30,30,15.033,0,0,0,0,0,0,0,0,0,0
131381710,1,34,48,28,12,12.5,42,24,12.25,30,9,12.333,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384357,3,36,30,36,30,15.5,30,30,17,30,24,13.958,30,30,16.333,30,30,11.8,30,30,13.867,0,0,0,0,0,0,0,0,0,0
131390886,1,12,24,41,23,12.783,30,24,15.25,39,22,15.455,30,30,14.8,30,21,12.857,30,30,14.6,0,0,0,0,0,0,0,0,0,0
131380386,3,30,30,30,30,12.233,30,30,13.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131380391,3,30,30,30,30,14.633,30,30,15.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131393339,2,6,0,23.5,11.5,10.478,17.5,11.5,11.435,30,24,11.75,42,36,12.583,22.5,5,10.8,52.5,28.5,11.351,20,14,14.179,32,14,12.429,0,0,0,0
131383624,3,30,30,36,36,14.333,30,30,17,30,24,15.333,30,30,16,30,30,12.533,30,30,13.933,0,0,0,0,0,0,0,0,0,0
131384640,3,30,0,30,30,17.333,35,35,16.514,0,0,0,27,22,14.591,30,30,16.667,33,33,13.333,30,30,13.133,30,30,12.467,0,0,0,0
131389066,3,30,30,30,30,15.333,30,30,12.9,30,30,14.667,30,30,14.267,30,30,12.267,30,30,14.067,0,0,0,0,0,0,0,0,0,0
131403251,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389696,3,30,30,30,30,15.033,30,30,17,30,30,14.433,30,30,15.667,30,30,14.567,30,30,13.933,0,0,0,0,0,0,0,0,0,0
131395881,1,6,12,35,35,12.2,36,36,12.167,37,12,12.5,33,17,13.412,33,21,11.19,43,27,11.333,27,6,13,30,12,10.833,58,8,14.625,0
131402995,2,27,33,27,0,0,27,0,0,27,0,0,27,0,0,24,0,0,31,0,0,31,0,0,32,0,0,401.5,80,12.25,1
131389942,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386835,2,30,41.5,36.5,36.5,11.781,30,24.5,12.347,30,23.5,11.404,30,30,13.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131393861,0,24,36,15,15,12.667,18,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111345902,3,10,6,30,30,16,41,41,14.707,20,10,12,26,9,15.444,34,34,14.412,26,26,13.385,30,30,13.1,30,30,14.667,0,0,0,0
131382194,3,34,30,24,24,13.667,30,30,13.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131383518,1,21,54,23,0,0,30,0,0,30,9,13.333,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131394465,2,11.5,5.5,35,23.5,10.766,42,18.5,11.054,36,18,11.667,51,33,11.152,32.5,15,11.633,60,33,11.576,0,0,0,0,0,0,0,0,0,0
111335876,3,30,30,30,30,17.667,30,30,15.267,30,30,16.667,30,30,15.1,30,30,15.167,30,30,15.233,0,0,0,0,0,0,0,0,0,0
131384400,3,30,30,30,30,15.967,30,30,16.667,30,30,15.967,30,30,17,30,30,14.667,30,30,14.833,0,0,0,0,0,0,0,0,0,0
131393932,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111345768,3,30,30,26,26,17.192,20,20,17.5,26,26,16,34,34,16.118,30,30,16.533,30,30,15.5,0,0,0,0,0,0,0,0,0,0
131385094,3,27,10,20,7,12.857,30,20,12.5,0,0,0,14,11,12.636,30,0,0,36,30,11.3,30,16,11.25,30,26,10.231,0,0,0,0
131395236,0,22,28,37,18,10.333,36,24,11,49,30,11.9,42,30,11.8,32,18,11.333,29,23,12.739,0,0,0,0,0,0,0,0,0,0
131391496,0,34,38,30,30,13.7,36,30,13.8,30,30,11.967,30,30,13.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131389129,0,27,55,26,24,13.5,32,20,13,36,18,10.667,35,24,12.75,30,17,12.412,30,16,12.938,0,0,0,0,0,0,0,0,0,0
